service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7.682,1,1,1,1,1,0,0,20241202,20241220
7.686,1,1,1,1,1,0,0,20241223,20250228
7.687,1,1,1,1,1,0,0,20250303,20250530
D.682,1,1,1,1,1,0,0,20241202,20241220
D.686,1,1,1,1,1,0,0,20241223,20250228
D.687,1,1,1,1,1,0,0,20250303,20250530
Q.682,1,1,1,1,1,0,0,20241202,20241220
Q.686,1,1,1,1,1,0,0,20241223,20250228
Q.687,1,1,1,1,1,0,0,20250303,20250530
W.682,1,1,1,1,1,0,0,20241202,20241220
W.686,1,1,1,1,1,0,0,20241223,20250228
W.687,1,1,1,1,1,0,0,20250303,20250530
8.682,0,0,0,0,0,1,0,20241207,20241221
8.686,0,0,0,0,0,1,0,20241228,20250301
8.687,0,0,0,0,0,1,0,20250308,20250531
E.682,0,0,0,0,0,1,0,20241207,20241221
E.686,0,0,0,0,0,1,0,20241228,20250301
E.687,0,0,0,0,0,1,0,20250308,20250531
S.682,0,0,0,0,0,1,0,20241207,20241221
S.686,0,0,0,0,0,1,0,20241228,20250301
S.687,0,0,0,0,0,1,0,20250308,20250531
F.682,0,0,0,0,0,0,1,20241201,20241215
F.686,0,0,0,0,0,0,1,20241222,20250223
F.687,0,0,0,0,0,0,1,20250302,20250525
U.682,0,0,0,0,0,0,1,20241201,20241215
U.686,0,0,0,0,0,0,1,20241222,20250223
U.687,0,0,0,0,0,0,1,20250302,20250525
C.682,0,0,0,0,0,0,1,20241201,20241215
C.686,0,0,0,0,0,0,1,20241222,20250223
C.687,0,0,0,0,0,0,1,20250302,20250525
A.682,1,1,1,1,1,0,0,20241202,20241220
A.686,1,1,1,1,1,0,0,20241223,20250228
A.687,1,1,1,1,1,0,0,20250303,20250530
B.682,0,0,0,0,0,1,0,20241207,20241221
B.686,0,0,0,0,0,1,0,20241228,20250301
B.687,0,0,0,0,0,1,0,20250308,20250531
e.686,0,0,0,0,0,0,0,20250101,20250101
f.686,0,0,0,0,0,0,0,20241225,20241225
X.687,0,0,0,0,0,0,0,20250526,20250526
e.687,0,0,0,0,0,0,0,20250526,20250526
X.686,0,0,1,0,0,0,0,20241225,20250101
Y.686,0,0,0,0,0,0,0,20241231,20241231
M.686,0,0,0,0,0,0,0,20250120,20250120
